timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,3123,11847,2039807,2252799,106,4386815,108356,354854
2,1918,13927,2028543,2238463,189,2908159,115016,359064
3,6151,16607,2073599,2250751,187,2717695,119046,383065
4,10047,203519,2044927,2119679,194,2521087,122804,364869
5,3481,206079,2066431,2101247,164,3704831,123001,378832
6,6335,216063,2084863,2293759,200,2508799,136954,418383
7,7215,1009663,2073599,2263039,192,2922495,132307,392142
8,3643,1009663,2053119,2101247,189,3741695,127849,384532
9,2781,20223,2070527,2498559,141,3753983,120424,383369
10,2093,7995,2051071,2097151,192,2904063,93381,346127
11,5827,13343,2049023,2097151,254,5402623,107431,357219
12,1257,9735,2058239,2246655,149,3739647,90602,339309
13,4527,11823,2082815,2099199,247,2729983,118884,393991
14,3121,10087,2051071,2107391,168,5414911,103125,354062
15,2589,8375,2033663,2273279,109,3704831,95772,334668
16,2753,9599,2070527,2103295,172,2912255,106798,371103
17,2597,12815,1456127,2285567,182,5373951,101277,340052
18,2217,7767,1264639,2095103,201,2494463,97824,331995
19,3107,9255,2064383,2103295,138,2717695,103012,352261
20,2527,13615,1889279,2293759,187,3729407,97339,337966
21,2425,11863,2074623,2271231,179,3751935,116761,385427
22,2079,9319,2042879,2263039,163,5414911,105232,356028
23,1997,9215,1486847,2099199,176,2887679,99075,337626
24,4519,12071,1454079,2103295,156,2510847,101321,332712
25,1768,8011,1260543,2099199,243,2727935,86973,315194
26,2367,9367,1266687,2096127,178,2867199,100097,333240
27,3121,10415,2039807,2097151,222,2301951,102435,341307
28,1619,7751,1448959,2097151,194,2895871,98456,333740
29,2655,10095,2062335,2101247,161,2721791,109516,361254
30,2443,6627,2032639,2095103,186,2672639,89402,325003
