timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,90498,14660676,90498.0,13.982,0.090498
2,72902,11810124,72902.0,11.263,0.072902
3,74874,12129588,74874.0,11.568,0.074874
4,65540,10617480,65540.0,10.126,0.065540
5,66182,10721484,66182.0,10.225,0.066182
6,70449,11412738,70449.0,10.884,0.070449
7,72176,11692512,72176.0,11.151,0.072176
8,84637,13711194,84637.0,13.076,0.084637
9,84309,13658058,84309.0,13.025,0.084309
10,90327,14632974,90327.0,13.955,0.090327
11,90467,14655654,90467.0,13.977,0.090467
12,90781,14706522,90781.0,14.025,0.090781
13,90611,14678982,90611.0,13.999,0.090611
14,90986,14739732,90986.0,14.057,0.090986
15,90985,14739570,90985.0,14.057,0.090985
16,91374,14802588,91374.0,14.117,0.091374
17,91013,14744106,91013.0,14.061,0.091013
18,91315,14793030,91315.0,14.108,0.091315
19,91769,14866578,91769.0,14.178,0.091769
20,91278,14787036,91278.0,14.102,0.091278
21,91523,14826726,91523.0,14.140,0.091523
22,91430,14811660,91430.0,14.125,0.091430
23,91307,14791734,91307.0,14.106,0.091307
24,91904,14888448,91904.0,14.199,0.091904
25,91899,14887638,91899.0,14.198,0.091899
26,91208,14775696,91208.0,14.091,0.091208
27,91939,14894118,91939.0,14.204,0.091939
28,91389,14805018,91389.0,14.119,0.091389
29,91895,14886990,91895.0,14.197,0.091895
30,91343,14797566,91343.0,14.112,0.091343
