timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,108520,11410860,0,107860
2,108520,11410860,0,107860
3,108520,11410860,0,107860
4,108528,11410860,0,107868
5,108552,11410860,0,107892
6,108552,11410860,0,107892
7,108564,11410860,0,107900
8,108564,11410860,0,107900
9,108564,11410860,0,107908
10,108564,11410860,0,107908
11,108568,11410860,0,107920
12,108584,11410860,0,107920
13,108584,11410860,0,107924
14,108584,11410860,0,107936
15,108584,11410860,0,107936
16,108584,11410860,0,107944
17,108584,11410860,0,107952
18,108592,11410860,0,107952
19,108592,11410860,0,107952
20,108592,11410860,0,107956
21,108592,11410860,0,107956
22,108592,11410860,0,107956
23,108592,11410860,0,107956
24,108648,11410860,0,0
25,108672,11410860,0,0
26,108672,11410860,0,0
27,108672,11410860,0,0
28,108672,11410860,0,0
29,108672,11410860,0,0
30,108672,11410860,0,0
