timestamp_sec,server_user_pct,server_sys_pct,server_total_pct,client_user_pct,client_sys_pct,client_total_pct
1,4.6,0.3,4.9,4.8,0.3,5.1
2,4.6,0.3,4.9,4.8,0.3,5.1
3,4.6,0.3,4.9,4.8,0.3,5.1
4,4.6,0.3,4.9,4.8,0.3,5.1
5,4.6,0.3,4.9,4.8,0.3,5.1
6,4.7,0.3,5.0,4.8,0.3,5.1
7,4.7,0.4,5.1,4.9,0.3,5.2
8,4.7,0.4,5.1,4.9,0.3,5.2
9,4.7,0.4,5.1,4.9,0.3,5.2
10,4.7,0.4,5.1,4.9,0.3,5.2
11,4.7,0.4,5.1,4.9,0.3,5.2
12,4.7,0.4,5.1,4.9,0.3,5.2
13,4.7,0.4,5.1,4.9,0.3,5.3
14,4.8,0.4,5.2,4.9,0.3,5.3
15,4.8,0.4,5.2,4.9,0.3,5.3
16,4.8,0.4,5.2,4.9,0.3,5.3
17,4.8,0.4,5.2,4.9,0.3,5.3
18,4.8,0.4,5.3,4.9,0.3,5.3
19,4.8,0.5,5.3,5.0,0.3,5.3
20,4.8,0.5,5.3,5.0,0.3,5.3
21,4.8,0.5,5.3,5.0,0.3,5.3
22,4.8,0.5,5.3,5.0,0.3,5.3
23,4.8,0.6,5.4,5.0,0.3,5.3
24,4.8,0.6,5.4,5.0,0.3,5.3
25,4.8,0.6,5.4,5.1,0.4,5.4
26,4.8,0.6,5.4,5.1,0.4,5.4
27,4.8,0.6,5.4,5.1,0.4,5.4
28,4.8,0.6,5.4,5.1,0.4,5.4
29,4.8,0.6,5.4,0.0,0.0,0.0
30,4.9,0.7,5.6,0.0,0.0,0.0
