timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,690,1065,1733,2435,56,3697,734,280
2,769,1290,2125,3049,46,6775,844,356
3,735,1181,1906,2831,59,5019,797,323
4,663,1018,1722,2533,62,3709,709,274
5,670,1007,1703,2489,53,4415,715,270
6,663,1021,1648,2319,57,4203,709,264
7,666,1010,1666,2403,61,3587,709,263
8,665,1012,1686,2797,60,4443,710,275
9,677,1045,1709,2505,58,5571,725,273
10,691,1036,1722,2617,61,4543,735,271
11,692,1036,1666,2387,60,3327,733,262
12,687,1040,1698,2533,58,4001,732,271
13,684,1038,1746,2555,58,4459,730,275
14,689,1033,1729,2703,64,4787,732,273
15,692,1032,1654,2237,60,3439,733,255
16,687,1026,1673,2369,51,3795,729,261
17,688,1033,1710,2405,62,3759,731,267
18,688,1034,1682,2419,65,4419,731,265
19,694,1032,1681,2413,62,3873,735,262
20,687,1108,2201,2539,54,5927,763,353
21,692,1027,1649,2431,62,3733,731,259
22,694,1051,1662,2273,61,3639,740,263
23,688,1033,1690,2379,55,4147,731,263
24,694,1025,1632,2283,61,3775,733,253
25,702,1023,1647,2293,63,3445,739,253
26,696,1042,1652,2313,71,3379,737,259
27,693,1027,1621,2319,62,3943,732,252
28,689,1033,1654,2315,61,4207,732,257
29,694,1024,1639,2345,61,3985,732,253
30,691,1026,1666,2325,64,4391,732,257
