timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,101716,11207060,0,101160
2,101728,11207060,0,101160
3,101728,11207060,0,101168
4,101732,11207060,0,101184
5,101744,11207060,0,101204
6,101744,11207060,0,101204
7,101752,11207060,0,101236
8,101752,11207060,0,101244
9,101752,11207060,0,101272
10,101764,11207060,0,101288
11,101788,11207060,0,101304
12,101788,11207060,0,101304
13,101796,11207060,0,101324
14,101796,11207060,0,101324
15,101796,11207060,0,101336
16,101800,11207060,0,101344
17,101800,11207060,0,101344
18,101832,11207060,0,101344
19,101832,11207060,0,101360
20,101832,11207060,0,101380
21,101832,11207060,0,101400
22,101832,11207060,0,101416
23,101832,11207060,0,101420
24,101840,11207060,0,101420
25,101840,11207060,0,101432
26,101840,11207060,0,101440
27,101840,11207060,0,101440
28,101840,11207060,0,101440
29,101840,11207060,0,101440
30,101856,11207060,0,0
