timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,42945,5633267430,42945.0,5372.302,0.042945
2,42051,5515997874,42051.0,5260.466,0.042051
3,39979,5244205346,39979.0,5001.264,0.039979
4,39042,5121295308,39042.0,4884.048,0.039042
5,39411,5169698514,39411.0,4930.209,0.039411
6,39949,5240270126,39949.0,4997.511,0.039949
7,37329,4896594246,37329.0,4669.756,0.037329
8,36727,4817627498,36727.0,4594.448,0.036727
9,35741,4688289934,35741.0,4471.102,0.035741
10,32601,4276403574,32601.0,4078.296,0.032601
11,37482,4916663868,37482.0,4688.896,0.037482
12,38401,5037212774,38401.0,4803.860,0.038401
13,35182,4614963668,35182.0,4401.172,0.035182
14,40185,5271227190,40185.0,5027.034,0.040185
15,39367,5163926858,39367.0,4924.704,0.039367
16,38382,5034720468,38382.0,4801.484,0.038382
17,38657,5070793318,38657.0,4835.885,0.038657
18,44627,5853902098,44627.0,5582.716,0.044627
19,44562,5845375788,44562.0,5574.585,0.044562
20,44371,5820321554,44371.0,5550.691,0.044371
21,44521,5840128828,44521.0,5569.581,0.044521
22,44378,5821108598,44378.0,5551.442,0.044378
23,44490,5835931260,44490.0,5565.578,0.044490
24,44630,5854295620,44630.0,5583.091,0.044630
25,44404,5824650296,44404.0,5554.819,0.044404
26,44350,5817566900,44350.0,5548.064,0.044350
27,44570,5846425180,44570.0,5575.586,0.044570
28,44415,5826093210,44415.0,5556.195,0.044415
29,44535,5841834090,44535.0,5571.207,0.044535
30,44601,5850491574,44601.0,5579.464,0.044601
