timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,75925,314964348,75925.0,300.373,0.075925
2,57905,240489544,57905.0,229.349,0.057905
3,55411,230104444,55411.0,219.445,0.055411
4,54333,226000756,54333.0,215.531,0.054333
5,53268,221515232,53268.0,211.253,0.053268
6,50346,209728668,50346.0,200.013,0.050346
7,49772,207794312,49772.0,198.168,0.049772
8,55731,232290560,55731.0,221.530,0.055731
9,66657,277158388,66657.0,264.319,0.066657
10,75491,313390848,75491.0,298.873,0.075491
11,75590,313986680,75590.0,299.441,0.075590
12,74642,309790680,74642.0,295.439,0.074642
13,75026,311355788,75026.0,296.932,0.075026
14,74582,309480176,74582.0,295.143,0.074582
15,74380,308645172,74380.0,294.347,0.074380
16,75138,311746016,75138.0,297.304,0.075138
17,73343,304604424,73343.0,290.493,0.073343
18,74097,307315040,74097.0,293.078,0.074097
19,74548,309375276,74548.0,295.043,0.074548
20,50912,212061644,50912.0,202.238,0.050912
21,24083,101010308,24083.0,96.331,0.024083
22,21057,88338388,21057.0,84.246,0.021057
23,20431,85699104,20431.0,81.729,0.020431
24,19431,81524084,19431.0,77.747,0.019431
25,21624,90696540,21624.0,86.495,0.021624
26,21787,91405664,21787.0,87.171,0.021787
27,20430,85699104,20430.0,81.729,0.020430
28,13646,57250224,13646.0,54.598,0.013646
29,7404,31042008,7404.0,29.604,0.007404
30,7901,33123224,7901.0,31.589,0.007901
