timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,775,1196,1378,1829,218,2833,770,324
2,934,1495,2543,3589,117,5607,960,472
3,855,1280,2131,4103,223,5559,855,423
4,772,1175,1326,1517,132,2205,766,311
5,778,1169,1308,1472,109,1597,763,309
6,788,1186,1364,1556,177,1756,772,317
7,779,1180,1347,1582,221,2703,768,315
8,777,1177,1326,1532,218,1658,764,312
9,776,1180,1322,1526,208,1757,764,313
10,768,1173,1328,1569,212,2613,764,314
11,771,1174,1322,1785,200,2967,765,314
12,773,1165,1326,1638,221,3967,763,312
13,768,1175,1329,1488,214,1688,764,312
14,778,1173,1321,1597,207,2589,765,315
15,777,1174,1338,1579,219,1753,769,313
16,780,1180,1340,1522,162,1642,769,315
17,778,1173,1325,1658,207,2861,765,314
18,776,1191,1333,1561,224,1889,766,314
19,787,1171,1323,1523,218,1857,764,312
20,767,1191,1359,2119,220,2911,770,321
21,775,1172,1323,1696,203,2875,765,312
22,772,1182,1342,1517,133,1764,765,314
23,785,1170,1349,1683,199,3129,766,314
24,774,1164,1325,1487,150,1637,763,308
25,772,1173,1332,1543,219,1951,764,312
26,783,1176,1341,1626,218,2467,768,315
27,770,1180,1319,1502,157,1718,765,314
28,792,1205,1391,1631,90,2217,783,320
29,803,1187,1355,1615,244,2173,776,315
30,802,1188,1396,1622,234,2059,780,316
