timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,106436,11410860,0,106600
2,106452,11410860,0,106608
3,106452,11410860,0,106612
4,106468,11410860,0,106640
5,106468,11410860,0,106640
6,106468,11410860,0,106648
7,106472,11410860,0,106652
8,106476,11410860,0,106652
9,106496,11410860,0,106660
10,106496,11410860,0,106684
11,106504,11410860,0,106688
12,106508,11410860,0,106688
13,106508,11410860,0,106696
14,106508,11410860,0,106700
15,106520,11410860,0,106728
16,106520,11410860,0,106732
17,106540,11410860,0,106732
18,106540,11410860,0,106732
19,106540,11410860,0,106780
20,106540,11410860,0,106796
21,106544,11410860,0,106796
22,106544,11410860,0,106796
23,106544,11410860,0,106796
24,106544,11410860,0,106800
25,106544,11410860,0,106800
26,106544,11410860,0,106800
27,106544,11410860,0,106800
28,106548,11410860,0,106800
29,106548,11410860,0,106808
30,106612,11410860,0,0
