timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,0,0,0,113608
2,0,0,0,113616
3,0,0,0,113628
4,0,0,0,113636
5,0,0,0,113652
6,0,0,0,113696
7,0,0,0,113696
8,0,0,0,113704
9,0,0,0,113732
10,0,0,0,113740
11,0,0,0,113744
12,0,0,0,113744
13,0,0,0,113752
14,0,0,0,113764
15,0,0,0,113780
16,0,0,0,113788
17,0,0,0,113788
18,0,0,0,113796
19,0,0,0,113872
20,0,0,0,113876
21,0,0,0,113884
22,0,0,0,113908
23,0,0,0,113912
24,0,0,0,113920
25,0,0,0,113932
26,0,0,0,113936
27,0,0,0,113940
28,0,0,0,113940
29,0,0,0,113952
30,0,0,0,0
