timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,65164,10556568,65164.0,10.068,0.065164
2,55497,8990514,55497.0,8.574,0.055497
3,48950,7929900,48950.0,7.563,0.048950
4,46802,7581924,46802.0,7.231,0.046802
5,46828,7586136,46828.0,7.235,0.046828
6,61059,9891558,61059.0,9.433,0.061059
7,67341,10909242,67341.0,10.404,0.067341
8,64606,10466172,64606.0,9.981,0.064606
9,64390,10431180,64390.0,9.948,0.064390
10,60704,9834048,60704.0,9.378,0.060704
11,61836,10017432,61836.0,9.553,0.061836
12,23065,3736530,23065.0,3.563,0.023065
13,2,162,2.0,0.000,0.000002
14,0,0,0.0,0.000,0.000000
15,0,0,0.0,0.000,0.000000
16,0,0,0.0,0.000,0.000000
17,0,0,0.0,0.000,0.000000
18,0,0,0.0,0.000,0.000000
19,0,0,0.0,0.000,0.000000
20,0,0,0.0,0.000,0.000000
21,0,0,0.0,0.000,0.000000
22,0,0,0.0,0.000,0.000000
23,0,0,0.0,0.000,0.000000
24,0,0,0.0,0.000,0.000000
25,0,0,0.0,0.000,0.000000
26,0,0,0.0,0.000,0.000000
27,0,0,0.0,0.000,0.000000
28,0,0,0.0,0.000,0.000000
29,0,0,0.0,0.000,0.000000
30,0,0,0.0,0.000,0.000000
