timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,112004,10634708,0,111132
2,112004,10634708,0,111140
3,112016,10634708,0,111160
4,112024,10634708,0,111176
5,112048,10634708,0,111196
6,112048,10634708,0,111208
7,112048,10634708,0,111232
8,112048,10634708,0,111232
9,112052,10634708,0,111276
10,112060,10634708,0,111276
11,112088,10634708,0,111320
12,112088,10634708,0,111332
13,112092,10634708,0,111348
14,112096,10634708,0,111360
15,112096,10634708,0,111368
16,112100,10634708,0,111372
17,112100,10634708,0,111376
18,112140,10634708,0,111392
19,112144,10634708,0,111392
20,112144,10634708,0,111420
21,112144,10634708,0,111448
22,112144,10634708,0,111460
23,112144,10634708,0,111464
24,112152,10634708,0,111476
25,112152,10634708,0,111480
26,112152,10634708,0,111496
27,112152,10634708,0,111520
28,112156,10634708,0,111548
29,112156,10634708,0,111552
30,112156,10634708,0,0
