timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,48,60,73,110,44,176,51,7
2,59,91,124,178,44,655,65,20
3,48,60,71,92,44,142,50,6
4,49,63,72,97,44,577,51,8
5,48,60,71,97,44,118,50,6
6,48,64,72,98,43,139,50,7
7,49,61,73,111,44,600,51,8
8,48,64,72,93,44,121,50,7
9,49,64,76,112,43,575,51,9
10,47,60,73,110,44,127,50,6
11,47,59,72,109,44,609,49,8
12,49,62,73,99,43,156,51,7
13,48,61,71,98,43,763,50,8
14,47,57,68,107,43,601,48,7
15,49,64,74,111,43,134,51,8
16,48,62,71,107,43,591,50,8
17,49,62,72,108,44,153,51,7
18,48,60,71,110,44,657,50,8
19,49,64,75,95,43,288,52,8
20,48,63,73,116,43,613,51,8
21,48,61,71,95,44,119,51,6
22,48,61,71,107,43,117,50,6
23,48,61,71,109,44,577,50,8
24,48,60,71,94,44,124,49,6
25,47,61,71,107,43,608,50,8
26,48,63,74,98,43,755,51,9
27,48,62,73,93,43,772,50,9
28,49,60,70,93,44,185,50,6
29,49,61,76,101,43,129,50,7
30,48,63,73,115,44,559,51,8
