timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,16986,2751732,16986.0,2.624,0.016986
2,13702,2219724,13702.0,2.117,0.013702
3,11378,1843236,11378.0,1.758,0.011378
4,11174,1810188,11174.0,1.726,0.011174
5,11186,1812132,11186.0,1.728,0.011186
6,15954,2584548,15954.0,2.465,0.015954
7,16308,2641896,16308.0,2.520,0.016308
8,16246,2631852,16246.0,2.510,0.016246
9,16283,2637846,16283.0,2.516,0.016283
10,16198,2624076,16198.0,2.503,0.016198
11,16449,2664738,16449.0,2.541,0.016449
12,16554,2681748,16554.0,2.558,0.016554
13,16122,2611764,16122.0,2.491,0.016122
14,16222,2627964,16222.0,2.506,0.016222
15,16111,2609982,16111.0,2.489,0.016111
16,16376,2652912,16376.0,2.530,0.016376
17,16667,2700054,16667.0,2.575,0.016667
18,15999,2591838,15999.0,2.472,0.015999
19,16121,2611602,16121.0,2.491,0.016121
20,16412,2658744,16412.0,2.536,0.016412
21,16126,2612412,16126.0,2.491,0.016126
22,15970,2587140,15970.0,2.467,0.015970
23,16231,2629422,16231.0,2.508,0.016231
24,15948,2583576,15948.0,2.464,0.015948
25,16862,2731644,16862.0,2.605,0.016862
26,16311,2642382,16311.0,2.520,0.016311
27,16504,2673648,16504.0,2.550,0.016504
28,16482,2670084,16482.0,2.546,0.016482
29,15970,2587140,15970.0,2.467,0.015970
30,16497,2672514,16497.0,2.549,0.016497
