timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,1695743,2445311,4907007,5296127,1394,5316607,1800211,671712
2,1559551,2162687,2478079,2729983,5284,3155967,1463864,562380
3,1892351,2568191,2877439,3074047,570880,3262463,1931668,492902
4,1691647,2498559,2899967,3303423,836608,3305471,1841140,422991
5,1842175,2109439,2551807,2973695,1894,3440639,1724851,446400
6,1762303,2459647,2596863,2932735,342784,3098623,1700673,573480
7,1691647,2445311,2844671,3282943,1671,3330047,1576437,675209
8,1768447,2562047,3416063,3483647,3328,3622911,1761974,721052
9,1751039,2486271,2783231,3133439,14312,3186687,1682427,613998
10,1838079,2625535,3117055,3223551,22736,3653631,1768340,671396
11,2117631,2693119,3512319,3534847,1756,3538943,1980729,695793
12,1618943,2396159,3106815,3250175,2009,3403775,1680204,588155
13,1854463,2754559,3252223,3334143,4428,3801087,1830505,724989
14,1835007,2899967,3158015,3340287,13248,3368959,1834811,791215
15,1705983,2783231,3112959,3448831,4756,3454975,1734685,734523
16,2201599,3301375,3807231,3823615,256256,3901439,2108992,882842
17,1695743,2529279,3221503,3569663,1417,3608575,1767327,585218
18,1919999,2639871,3084287,3543039,456192,3561471,1935150,495620
19,1755135,2406399,2856959,3059711,4020,3063807,1778412,448423
20,1659903,2592767,2994175,3403775,291072,3407871,1778607,587491
21,2045951,2506751,3088383,3264511,263424,3436543,1923030,566578
22,1653759,2387967,2697215,3135487,4000,3153919,1624579,534200
23,1687551,2332671,2674687,2891775,8640,3117055,1654163,544902
24,1950719,2476031,2938879,3540991,11576,3688447,1926820,457903
25,1741823,2512895,3026943,3264511,11904,3704831,1699213,631392
26,1811455,2586623,2988031,3364863,2800,3526655,1797782,601695
27,1763327,2256895,2760703,2906111,5580,3135487,1794622,364677
28,1525759,2099199,2639871,2723839,10040,2746367,1433207,574678
29,1589247,2328575,2869247,3094527,16784,3282943,1559678,594679
30,1869823,2433023,2697215,2992127,197632,3274751,1696895,617574
