timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,53100,3485324700,53100.0,3323.865,0.053100
2,46394,3045162978,46394.0,2904.094,0.046394
3,46224,3034004688,46224.0,2893.452,0.046224
4,46626,3060390762,46626.0,2918.616,0.046626
5,46136,3028228632,46136.0,2887.944,0.046136
6,38415,2521445355,38415.0,2404.638,0.038415
7,44709,2934564633,44709.0,2798.619,0.044709
8,35536,2332476432,35536.0,2224.423,0.035536
9,45215,2967776955,45215.0,2830.293,0.045215
10,42515,2790557055,42515.0,2661.283,0.042515
11,47592,3123796104,47592.0,2979.084,0.047592
12,43844,2877788628,43844.0,2744.473,0.043844
13,43995,2887699815,43995.0,2753.925,0.043995
14,52300,3432815100,52300.0,3273.788,0.052300
15,52928,3474035136,52928.0,3313.098,0.052928
16,52507,3446401959,52507.0,3286.745,0.052507
17,53325,3500093025,53325.0,3337.949,0.053325
18,53448,3508232013,53448.0,3345.711,0.053448
19,53397,3504753252,53397.0,3342.393,0.053397
20,53329,3500355573,53329.0,3338.199,0.053329
21,53513,3512432781,53513.0,3349.717,0.053513
22,53456,3508691472,53456.0,3346.149,0.053456
23,53425,3506656725,53425.0,3344.208,0.053425
24,53500,3511579500,53500.0,3348.903,0.053500
25,53431,3507050547,53431.0,3344.584,0.053431
26,53215,3492872955,53215.0,3331.063,0.053215
27,53487,3510726219,53487.0,3348.089,0.053487
28,53368,3502915416,53368.0,3340.640,0.053368
29,53290,3497795730,53290.0,3335.758,0.053290
30,53353,3501930861,53353.0,3339.702,0.053353
