timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,111632,10634708,0,110244
2,111632,10634708,0,110260
3,111648,10634708,0,110264
4,111652,10634708,0,110268
5,111676,10634708,0,110308
6,111676,10634708,0,110312
7,111676,10634708,0,110328
8,111680,10634708,0,110336
9,111680,10634708,0,110336
10,111680,10634708,0,110364
11,111708,10634708,0,110372
12,111708,10634708,0,110380
13,111720,10634708,0,110388
14,111724,10634708,0,110388
15,111724,10634708,0,110416
16,111724,10634708,0,110424
17,111724,10634708,0,110428
18,111768,10634708,0,110436
19,111768,10634708,0,110440
20,111768,10634708,0,110520
21,111768,10634708,0,110524
22,111772,10634708,0,110544
23,111772,10634708,0,110548
24,111776,10634708,0,110548
25,111776,10634708,0,110552
26,111776,10634708,0,110556
27,111780,10634708,0,110556
28,111780,10634708,0,110564
29,111780,10634708,0,110572
30,111780,10634708,0,0
