timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,76847,322450012,76847.0,307.512,0.076847
2,82047,344269212,82047.0,328.321,0.082047
3,78769,330514724,78769.0,315.203,0.078769
4,56932,238886672,56932.0,227.820,0.056932
5,64550,270851800,64550.0,258.304,0.064550
6,58404,245063184,58404.0,233.710,0.058404
7,46236,194006256,46236.0,185.019,0.046236
8,48821,204852916,48821.0,195.363,0.048821
9,52053,218414388,52053.0,208.296,0.052053
10,57119,239671324,57119.0,228.568,0.057119
11,50209,210676964,50209.0,200.917,0.050209
12,15830,66422680,15830.0,63.346,0.015830
13,1483,6222668,1483.0,5.934,0.001483
14,1466,6151336,1466.0,5.866,0.001466
15,1476,6193296,1476.0,5.906,0.001476
16,1539,6457644,1539.0,6.158,0.001539
17,1543,6474428,1543.0,6.174,0.001543
18,1539,6457644,1539.0,6.158,0.001539
19,1529,6415684,1529.0,6.118,0.001529
20,1521,6382116,1521.0,6.086,0.001521
21,1549,6499604,1549.0,6.199,0.001549
22,1549,6499604,1549.0,6.199,0.001549
23,1516,6361136,1516.0,6.066,0.001516
24,1541,6466036,1541.0,6.166,0.001541
25,1544,6478624,1544.0,6.178,0.001544
26,1521,6382116,1521.0,6.086,0.001521
27,1562,6554152,1562.0,6.251,0.001562
28,1529,6415684,1529.0,6.118,0.001529
29,1532,6428272,1532.0,6.130,0.001532
30,1544,6478624,1544.0,6.178,0.001544
