timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,365596,8476524,0,101272
2,365596,8476524,0,101300
3,365596,8476524,0,101300
4,365596,8476524,0,101300
5,365596,8476524,0,101308
6,365596,8476524,0,101308
7,393564,8476524,0,101320
8,393564,8476524,0,101336
9,386768,8476524,0,101336
10,386768,8476524,0,101336
11,386768,8476524,0,101340
12,386768,8476524,0,101384
13,386768,8476524,0,101388
14,427756,8476524,0,101396
15,402324,8476524,0,101400
16,402296,8476524,0,101400
17,402296,8476524,0,101400
18,402300,8476524,0,101412
19,402300,8476524,0,101416
20,402300,8476524,0,101420
21,402300,8476524,0,101420
22,402332,8476524,0,0
23,402332,8476524,0,0
24,402332,8476524,0,0
25,402332,8476524,0,0
26,402332,8476524,0,0
27,402332,8476524,0,0
28,402332,8476524,0,0
29,402404,8476524,0,0
30,402408,8476524,0,0
