timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,151,196,255,319,85,831,156,30
2,149,192,252,329,86,788,154,30
3,148,188,245,309,84,1049,153,30
4,176,266,407,673,88,1083,191,62
5,197,286,410,641,96,1798,211,65
6,215,322,453,878,101,2637,230,80
7,213,325,476,802,95,4263,231,108
8,208,305,434,743,97,1435,222,68
9,207,298,403,644,93,3553,220,81
10,220,5967,6307,7159,104,9703,1593,2453
11,5755,5847,6071,6195,5584,6203,5761,79
12,5735,5839,5923,6055,5508,6087,5736,78
13,5735,5823,6347,8863,5548,9559,5760,248
14,5723,5823,5919,5967,5520,5995,5728,72
15,5751,5887,6111,6267,5576,6283,5769,98
16,5731,5823,5927,6007,5520,6039,5733,72
17,5755,6063,6243,6287,5528,6295,5799,154
18,5795,6047,6231,6295,5568,6299,5824,137
19,5847,6147,6327,6543,5608,6563,5895,176
20,5783,6143,6631,7059,5560,7079,5845,211
21,5763,5863,5987,6043,5524,6055,5766,75
22,5823,6183,6451,6527,5576,6527,5887,194
23,5767,5931,6227,6295,5512,6299,5790,126
24,5763,5859,5971,6015,5560,6039,5769,70
25,5767,5871,5963,6167,5372,6195,5768,78
26,5771,5879,6087,6207,5564,6215,5777,86
27,5763,5891,6255,6371,5580,6383,5776,112
28,5759,5847,5947,6007,5564,6035,5761,65
29,5755,5883,6115,6211,5568,6215,5766,96
30,5759,5867,5963,6035,5560,6071,5762,80
