timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,513344,7547572,0,102576
2,513344,7547572,0,102576
3,513344,7547572,0,102576
4,513344,7547572,0,102576
5,513344,7547572,0,102584
6,513344,7547572,0,102600
7,513344,7547572,0,102600
8,513344,7547572,0,102608
9,513376,7547572,0,102608
10,513376,7547572,0,102656
11,513376,7547572,0,102672
12,513376,7547572,0,102672
13,513376,7547572,0,102688
14,513376,7547572,0,102692
15,513376,7547572,0,102692
16,513380,7547572,0,102692
17,513380,7547572,0,102692
18,513380,7547572,0,102692
19,513380,7547572,0,102692
20,513380,7547572,0,102696
21,513496,7547572,0,0
22,513496,7547572,0,0
23,513496,7547572,0,0
24,513496,7547572,0,0
25,513496,7547572,0,0
26,513496,7547572,0,0
27,513496,7547572,0,0
28,513496,7547572,0,0
29,513496,7547572,0,0
30,513496,7547572,0,0
