timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,789,1174,1886,2577,82,3823,838,288
2,790,1195,1981,2819,75,4091,844,308
3,785,1175,1929,2649,76,3895,836,296
4,932,1455,2413,3625,83,5003,1005,389
5,1007,1538,2501,4223,90,7147,1079,404
6,987,1481,2465,3789,97,5523,1054,387
7,1113,1737,2801,4047,84,7207,1197,457
8,1090,1736,2931,4535,89,7579,1178,482
9,1036,1621,2709,4579,99,6763,1116,445
10,982,1487,2363,3371,81,5639,1047,371
11,1058,1590,2529,3711,86,6043,1124,400
12,1059,15951,17791,26799,112,27295,4469,6434
13,15343,15839,16415,17583,14648,17807,15361,370
14,15479,15943,16311,16447,14880,16495,15515,312
15,15431,16295,17311,17487,14712,17567,15563,516
16,15455,15695,16127,16247,14800,16279,15420,253
17,15703,16239,16671,16767,14896,16799,15727,361
18,15647,16767,18015,18223,14824,18255,15850,601
19,15407,15991,17199,17583,14840,17647,15516,420
20,15343,15943,16703,17039,14640,17087,15363,445
21,15295,15927,17167,17583,14672,17647,15393,425
22,15223,15671,15919,16039,14720,16055,15259,270
23,15295,16063,18399,18527,14696,18655,15430,568
24,15103,16015,17583,17663,14496,17679,15308,603
25,15271,16183,17423,17727,14624,17759,15426,508
26,15247,16479,17807,17855,14664,17903,15494,676
27,15335,15775,17215,17743,14840,17775,15389,387
28,15287,16151,17871,18031,14640,18079,15482,636
29,15463,16431,18415,18975,14624,19103,15638,665
30,15807,16295,16895,17103,15096,17151,15821,366
