timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,115967,486597532,115967.0,464.056,0.115967
2,118624,497746304,118624.0,474.688,0.118624
3,116582,489178072,116582.0,466.517,0.116582
4,97210,407893160,97210.0,388.997,0.097210
5,90480,379654080,90480.0,362.066,0.090480
6,92767,389250332,92767.0,371.218,0.092767
7,81751,343027196,81751.0,327.136,0.081751
8,83047,348465212,83047.0,332.322,0.083047
9,87831,368538876,87831.0,351.466,0.087831
10,93386,391847656,93386.0,373.695,0.093386
11,86945,364821220,86945.0,347.921,0.086945
12,22124,92832304,22124.0,88.532,0.022124
13,6518,27349528,6518.0,26.083,0.006518
14,6443,27034828,6443.0,25.782,0.006443
15,6423,26950908,6423.0,25.702,0.006423
16,6482,27198472,6482.0,25.938,0.006482
17,6351,26648796,6351.0,25.414,0.006351
18,6308,26468368,6308.0,25.242,0.006308
19,6443,27034828,6443.0,25.782,0.006443
20,6506,27299176,6506.0,26.035,0.006506
21,6495,27253020,6495.0,25.991,0.006495
22,6551,27487996,6551.0,26.215,0.006551
23,6479,27185884,6479.0,25.926,0.006479
24,6531,27404076,6531.0,26.135,0.006531
25,6478,27181688,6478.0,25.922,0.006478
26,6452,27072592,6452.0,25.818,0.006452
27,6494,27248824,6494.0,25.987,0.006494
28,6457,27093572,6457.0,25.838,0.006457
29,6391,26816636,6391.0,25.574,0.006391
30,6316,26501936,6316.0,25.274,0.006316
