timestamp_sec,server_user_pct,server_sys_pct,server_total_pct,client_user_pct,client_sys_pct,client_total_pct
1,41.2,30.3,71.4,4.1,0.3,4.3
2,41.6,32.4,74.1,4.1,0.3,4.4
3,42.2,34.5,76.7,4.1,0.3,4.4
4,42.7,36.8,79.4,4.1,0.3,4.4
5,43.1,39.0,82.1,4.1,0.3,4.4
6,43.6,41.1,84.8,4.2,0.3,4.4
7,44.1,43.4,87.4,4.2,0.3,4.4
8,44.6,45.5,90.1,4.2,0.3,4.4
9,45.0,47.7,92.7,4.2,0.3,4.4
10,45.4,49.9,95.4,4.3,0.3,4.5
11,45.9,52.2,98.1,4.3,0.3,4.5
12,46.1,54.6,100.7,4.3,0.3,4.5
13,46.7,56.8,103.4,4.3,0.3,4.5
14,47.2,58.9,106.1,4.3,0.3,4.6
15,47.6,61.2,108.8,4.3,0.3,4.6
16,48.1,63.3,111.4,4.3,0.3,4.6
17,48.6,65.4,114.1,4.3,0.3,4.6
18,49.1,67.7,116.8,4.3,0.3,4.6
19,49.4,70.0,119.4,4.4,0.3,4.6
20,49.9,72.1,122.0,4.4,0.3,4.6
21,50.3,74.4,124.7,4.4,0.3,4.6
22,50.7,76.7,127.4,4.4,0.3,4.6
23,51.0,79.0,130.0,4.4,0.3,4.7
24,51.2,79.8,130.9,0.0,0.0,0.0
25,51.2,79.8,130.9,0.0,0.0,0.0
26,51.2,79.8,130.9,0.0,0.0,0.0
27,51.2,79.8,131.0,0.0,0.0,0.0
28,51.2,79.8,131.0,0.0,0.0,0.0
29,51.2,79.8,131.0,0.0,0.0,0.0
30,51.2,79.8,131.0,0.0,0.0,0.0
