timestamp_sec,server_user_pct,server_sys_pct,server_total_pct,client_user_pct,client_sys_pct,client_total_pct
1,9.6,106.8,116.4,4.2,0.3,4.4
2,9.6,112.6,122.3,4.3,0.3,4.5
3,9.6,118.9,128.5,4.3,0.3,4.5
4,9.7,124.7,134.4,4.3,0.3,4.5
5,9.7,130.8,140.4,4.3,0.3,4.5
6,9.7,136.7,146.4,4.3,0.3,4.5
7,9.8,142.4,152.1,4.3,0.3,4.6
8,9.8,148.3,158.0,4.3,0.3,4.6
9,9.8,154.1,163.9,4.3,0.3,4.6
10,9.8,160.1,169.9,4.3,0.3,4.6
11,9.8,165.9,175.8,4.3,0.3,4.6
12,9.8,171.9,181.7,4.4,0.3,4.7
13,9.9,177.7,187.6,4.4,0.3,4.7
14,9.9,183.6,193.4,4.4,0.3,4.7
15,9.9,189.3,199.2,4.4,0.3,4.8
16,9.9,195.2,205.1,4.4,0.3,4.8
17,9.9,200.9,210.9,4.4,0.3,4.8
18,9.9,206.9,216.8,4.4,0.3,4.8
19,9.9,212.8,222.7,4.4,0.3,4.8
20,9.9,218.9,228.8,4.5,0.3,4.8
21,10.0,224.8,234.8,4.5,0.3,4.8
22,10.0,230.9,240.9,0.0,0.0,0.0
23,10.0,237.3,247.3,0.0,0.0,0.0
24,10.0,243.5,253.5,0.0,0.0,0.0
25,10.0,249.8,259.8,0.0,0.0,0.0
26,10.0,256.1,266.1,0.0,0.0,0.0
27,10.0,262.3,272.3,0.0,0.0,0.0
28,10.0,268.6,278.6,0.0,0.0,0.0
29,10.0,274.8,284.8,0.0,0.0,0.0
30,10.0,281.1,291.1,0.0,0.0,0.0
