timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,1487,210943,290303,299519,215,1481727,54768,93431
2,538623,660991,699391,705535,1967,705535,498129,162225
3,545279,724479,747519,750079,1511,751103,513248,171542
4,41183,187903,217343,220799,1951,221055,70821,72477
5,3311,4419,5991,8071,1911,8079,3500,674
6,9823,77887,86335,91839,1629,92287,21119,25701
7,8311,22895,30831,33311,1194,36287,10433,7641
8,7963,23407,47487,52607,1204,52607,11266,9851
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
