timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,352268,4996156,0,102104
2,352420,4996156,0,102116
3,352420,4996156,0,102120
4,352420,4996156,0,102120
5,352420,4996156,0,102152
6,352420,4996156,0,102152
7,352420,4996156,0,102152
8,352420,4996156,0,102152
9,352420,4996156,0,102152
10,352420,4996156,0,102156
11,352420,4996156,0,102172
12,352448,4996156,0,102172
13,352500,4996156,0,102172
14,352500,4996156,0,102204
15,352500,4996156,0,102208
16,352500,4996156,0,102208
17,352500,4996156,0,102220
18,352500,4996156,0,102224
19,352500,4996156,0,102232
20,352500,4996156,0,102236
21,352500,4996156,0,102256
22,352500,4996156,0,102256
23,352500,4996156,0,102260
24,352500,4996156,0,102260
25,352500,4996156,0,0
26,352500,4996156,0,0
27,352500,4996156,0,0
28,352500,4996156,0,0
29,352500,4996156,0,0
30,352500,4996156,0,0
