timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,924,3877104,924.0,3.697,0.000924
2,929,3898084,929.0,3.718,0.000929
3,931,3906476,931.0,3.726,0.000931
4,897,3763812,897.0,3.589,0.000897
5,878,3684088,878.0,3.513,0.000878
6,878,3684088,878.0,3.513,0.000878
7,492,2064432,492.0,1.969,0.000492
8,0,0,0.0,0.000,0.000000
9,0,0,0.0,0.000,0.000000
10,0,0,0.0,0.000,0.000000
11,0,0,0.0,0.000,0.000000
12,409,1716164,409.0,1.637,0.000409
13,921,3864516,921.0,3.685,0.000921
14,922,3868712,922.0,3.689,0.000922
15,859,3604364,859.0,3.437,0.000859
16,0,0,0.0,0.000,0.000000
17,0,0,0.0,0.000,0.000000
18,0,0,0.0,0.000,0.000000
19,0,0,0.0,0.000,0.000000
20,60,251760,60.0,0.240,0.000060
21,924,3877104,924.0,3.697,0.000924
22,927,3889692,927.0,3.709,0.000927
23,926,3885496,926.0,3.705,0.000926
24,904,3793184,904.0,3.617,0.000904
25,929,3898084,929.0,3.718,0.000929
26,907,3805772,907.0,3.629,0.000907
27,928,3893888,928.0,3.714,0.000928
28,925,3881300,925.0,3.701,0.000925
29,910,3818360,910.0,3.641,0.000910
30,924,3877104,924.0,3.697,0.000924
