timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,2140204,8050572,0,107060
2,2324736,8181644,0,107060
3,2500092,8378252,0,107064
4,0,0,0,107072
5,0,0,0,107100
6,0,0,0,107100
7,0,0,0,107112
8,0,0,0,107112
9,0,0,0,107116
10,0,0,0,107136
11,0,0,0,107136
12,0,0,0,107144
13,0,0,0,107188
14,0,0,0,107236
15,0,0,0,107236
16,0,0,0,107236
17,0,0,0,107236
18,0,0,0,107236
19,0,0,0,107240
20,0,0,0,107240
21,0,0,0,107240
22,0,0,0,107256
23,0,0,0,107260
24,0,0,0,107260
25,0,0,0,107272
26,0,0,0,107292
27,0,0,0,107404
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
