timestamp_sec,server_user_pct,server_sys_pct,server_total_pct,client_user_pct,client_sys_pct,client_total_pct
1,198.4,319.9,518.3,4.1,0.4,4.6
2,199.3,323.7,522.9,4.1,0.4,4.6
3,200.0,327.5,527.5,4.1,0.4,4.6
4,200.9,331.4,532.3,4.1,0.4,4.6
5,201.8,335.1,536.9,4.1,0.4,4.6
6,202.6,339.0,541.6,4.1,0.4,4.6
7,203.4,342.8,546.2,4.2,0.4,4.6
8,204.3,346.6,550.8,4.2,0.4,4.6
9,205.9,350.5,556.4,4.2,0.4,4.6
10,207.6,354.3,561.8,4.2,0.4,4.6
11,208.6,358.0,566.6,4.2,0.4,4.6
12,209.6,361.6,571.2,4.3,0.4,4.7
13,210.6,365.6,576.1,4.3,0.4,4.7
14,211.4,369.0,580.4,4.3,0.4,4.7
15,212.3,372.7,584.9,4.3,0.4,4.7
16,213.4,376.7,590.1,4.3,0.4,4.7
17,214.4,380.4,594.9,4.3,0.4,4.7
18,215.6,384.1,599.6,4.3,0.4,4.8
19,216.6,387.9,604.5,4.3,0.4,4.8
20,217.8,391.4,609.2,4.3,0.4,4.8
21,218.4,393.5,611.9,0.0,0.0,0.0
22,218.6,394.3,612.9,0.0,0.0,0.0
23,218.8,394.9,613.8,0.0,0.0,0.0
24,218.9,395.0,613.9,0.0,0.0,0.0
25,218.9,395.1,613.9,0.0,0.0,0.0
26,218.9,395.1,613.9,0.0,0.0,0.0
27,218.9,395.1,613.9,0.0,0.0,0.0
28,218.9,395.1,613.9,0.0,0.0,0.0
29,218.9,395.1,613.9,0.0,0.0,0.0
30,218.9,395.1,613.9,0.0,0.0,0.0
