timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,520152,7554456,0,101844
2,520152,7554456,0,101844
3,520152,7554456,0,101844
4,520152,7554456,0,101852
5,520152,7554456,0,101864
6,520152,7554456,0,101876
7,520152,7554456,0,101880
8,520152,7554456,0,101888
9,520460,7554456,0,101888
10,520548,7554456,0,101908
11,520548,7554456,0,101920
12,520548,7554456,0,101920
13,520548,7554456,0,101920
14,520548,7554456,0,101928
15,520548,7554456,0,101936
16,520612,7554456,0,101944
17,520612,7554456,0,101944
18,520612,7554456,0,101944
19,520612,7554456,0,101948
20,520676,7554456,0,101948
21,520684,7554456,0,0
22,520684,7554456,0,0
23,520684,7554456,0,0
24,520684,7554456,0,0
25,520684,7554456,0,0
26,520684,7554456,0,0
27,520684,7554456,0,0
28,520684,7554456,0,0
29,520684,7554456,0,0
30,520684,7554456,0,0
