timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,102186,428772456,102186.0,408.909,0.102186
2,104063,436648348,104063.0,416.420,0.104063
3,103433,434004868,103433.0,413.899,0.103433
4,86441,362706436,86441.0,345.904,0.086441
5,82841,347600836,82841.0,331.498,0.082841
6,83942,352220632,83942.0,335.904,0.083942
7,77685,325966260,77685.0,310.866,0.077685
8,67144,281736224,67144.0,268.685,0.067144
9,76715,321896140,76715.0,306.984,0.076715
10,79632,334135872,79632.0,318.657,0.079632
11,80626,338306696,80626.0,322.634,0.080626
12,32134,134834264,32134.0,128.588,0.032134
13,6432,26988672,6432.0,25.738,0.006432
14,6728,28230688,6728.0,26.923,0.006728
15,6769,28402724,6769.0,27.087,0.006769
16,6802,28541192,6802.0,27.219,0.006802
17,6594,27668424,6594.0,26.387,0.006594
18,6870,28826520,6870.0,27.491,0.006870
19,6697,28100612,6697.0,26.799,0.006697
20,6901,28956596,6901.0,27.615,0.006901
21,6811,28578956,6811.0,27.255,0.006811
22,6806,28557976,6806.0,27.235,0.006806
23,6643,27874028,6643.0,26.583,0.006643
24,6491,27236236,6491.0,25.974,0.006491
25,6722,28205512,6722.0,26.899,0.006722
26,6922,29044712,6922.0,27.699,0.006922
27,6880,28868480,6880.0,27.531,0.006880
28,6752,28331392,6752.0,27.019,0.006752
29,6928,29069888,6928.0,27.723,0.006928
30,6766,28390136,6766.0,27.075,0.006766
