timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,50,64,79,130,44,168,52,8
2,50,64,84,133,44,765,53,10
3,50,64,79,131,44,164,52,8
4,68,105,141,168,44,950,73,24
5,83,123,167,256,53,3733,89,49
6,88,139,185,275,53,4855,97,66
7,86,128,173,318,51,3437,91,48
8,239,262,298,360,220,414,242,15
9,234,250,277,309,216,378,237,11
10,234,252,284,320,216,448,236,12
11,237,255,288,327,219,388,240,12
12,239,258,281,309,222,3249,242,49
13,242,269,289,335,221,345,246,15
14,238,254,276,305,222,330,240,11
15,239,257,302,485,218,542,242,17
16,244,267,290,456,223,1278,247,23
17,243,258,286,309,219,326,243,13
18,241,263,286,325,222,359,243,13
19,240,257,284,328,222,354,243,12
20,240,258,282,325,221,457,242,12
21,243,258,287,347,220,3153,245,48
22,238,256,286,349,216,898,240,16
23,241,265,293,335,222,381,245,14
24,240,255,283,322,220,1242,242,19
25,239,255,273,304,219,562,240,12
26,240,256,288,332,221,387,242,12
27,239,257,286,309,220,355,241,12
28,241,260,289,341,219,361,243,13
29,238,263,288,324,218,337,242,14
30,238,260,281,356,219,879,241,17
