timestamp_sec,server_user_pct,server_sys_pct,server_total_pct,client_user_pct,client_sys_pct,client_total_pct
1,238.8,316.1,554.9,4.4,0.3,4.7
2,239.7,320.1,559.8,4.4,0.3,4.7
3,240.6,324.3,564.9,4.4,0.3,4.7
4,241.4,328.5,569.9,4.4,0.3,4.7
5,242.2,332.7,574.9,4.4,0.3,4.7
6,243.0,336.8,579.8,4.4,0.3,4.7
7,243.9,340.9,584.8,4.5,0.3,4.8
8,244.9,344.9,589.8,4.5,0.3,4.8
9,245.8,348.9,594.8,4.5,0.3,4.8
10,246.8,353.0,599.8,4.5,0.3,4.8
11,247.7,356.4,604.1,4.6,0.3,4.9
12,248.6,360.6,609.3,4.6,0.3,4.9
13,249.6,364.9,614.5,4.6,0.3,4.9
14,250.6,368.3,618.8,4.6,0.3,4.9
15,251.6,372.3,623.9,4.6,0.3,4.9
16,252.4,376.6,629.0,4.6,0.3,4.9
17,253.3,380.6,633.9,4.6,0.3,4.9
18,254.3,384.7,638.9,4.6,0.3,4.9
19,255.3,389.0,644.3,4.6,0.3,4.9
20,256.1,392.6,648.7,4.6,0.3,4.9
21,256.7,395.9,652.6,0.0,0.0,0.0
22,257.1,397.6,654.8,0.0,0.0,0.0
23,257.2,398.1,655.3,0.0,0.0,0.0
24,257.2,398.1,655.3,0.0,0.0,0.0
25,257.4,398.9,656.3,0.0,0.0,0.0
26,257.4,399.0,656.4,0.0,0.0,0.0
27,257.4,399.0,656.4,0.0,0.0,0.0
28,257.4,399.0,656.4,0.0,0.0,0.0
29,257.4,399.1,656.5,0.0,0.0,0.0
30,257.4,399.1,656.5,0.0,0.0,0.0
