timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,525288,7545444,0,101564
2,525288,7545444,0,101576
3,525288,7545444,0,101596
4,525288,7545444,0,101600
5,525288,7545444,0,101604
6,525288,7545444,0,101612
7,525288,7545444,0,101612
8,525288,7545444,0,101624
9,525288,7545444,0,101640
10,525288,7545444,0,101640
11,525288,7545444,0,101644
12,525288,7545444,0,101660
13,525288,7545444,0,101680
14,525288,7545444,0,101684
15,525288,7545444,0,101684
16,525288,7545444,0,101684
17,525288,7545444,0,101696
18,525288,7545444,0,101700
19,525288,7545444,0,101712
20,525288,7545444,0,101712
21,525288,7545444,0,101716
22,525288,7545444,0,101716
23,525288,7545444,0,0
24,525288,7545444,0,0
25,525288,7545444,0,0
26,525288,7545444,0,0
27,525288,7545444,0,0
28,525288,7545444,0,0
29,525288,7545444,0,0
30,525288,7545444,0,0
