timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,14133,59302068,14133.0,56.555,0.014133
2,14486,60783256,14486.0,57.967,0.014486
3,14230,59709080,14230.0,56.943,0.014230
4,11512,48304352,11512.0,46.067,0.011512
5,9016,37831136,9016.0,36.079,0.009016
6,9037,37919252,9037.0,36.163,0.009037
7,8984,37696864,8984.0,35.951,0.008984
8,3394,14241224,3394.0,13.581,0.003394
9,2511,10536156,2511.0,10.048,0.002511
10,2520,10573920,2520.0,10.084,0.002520
11,2469,10359924,2469.0,9.880,0.002469
12,2468,10355728,2468.0,9.876,0.002468
13,2490,10448040,2490.0,9.964,0.002490
14,2518,10565528,2518.0,10.076,0.002518
15,2531,10620076,2531.0,10.128,0.002531
16,2498,10481608,2498.0,9.996,0.002498
17,2537,10645252,2537.0,10.152,0.002537
18,2540,10657840,2540.0,10.164,0.002540
19,2388,10020048,2388.0,9.556,0.002388
20,2533,10628468,2533.0,10.136,0.002533
21,2476,10389296,2476.0,9.908,0.002476
22,2532,10624272,2532.0,10.132,0.002532
23,2519,10569724,2519.0,10.080,0.002519
24,2455,10301180,2455.0,9.824,0.002455
25,2450,10280200,2450.0,9.804,0.002450
26,2480,10406080,2480.0,9.924,0.002480
27,2519,10569724,2519.0,10.080,0.002519
28,2476,10389296,2476.0,9.908,0.002476
29,2484,10422864,2484.0,9.940,0.002484
30,2525,10594900,2525.0,10.104,0.002525
