timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,59429,3900741273,59429.0,3720.037,0.059429
2,61573,4041467001,61573.0,3854.243,0.061573
3,61208,4017509496,61208.0,3831.396,0.061208
4,49498,3248900226,49498.0,3098.393,0.049498
5,47067,3089336679,47067.0,2946.221,0.047067
6,46723,3066757551,46723.0,2924.688,0.046723
7,41442,2720128554,41442.0,2594.117,0.041442
8,45655,2996657235,45655.0,2857.835,0.045655
9,39361,2583537957,39361.0,2463.854,0.039361
10,43348,2845232676,43348.0,2713.425,0.043348
11,46589,3057962193,46589.0,2916.300,0.046589
12,41818,2744808066,41818.0,2617.653,0.041818
13,16140,1059381180,16140.0,1010.305,0.016140
14,1676,110007612,1676.0,104.911,0.001676
15,1652,108432324,1652.0,103.409,0.001652
16,1640,107644680,1640.0,102.658,0.001640
17,1679,110204523,1679.0,105.099,0.001679
18,1639,107579043,1639.0,102.595,0.001639
19,1670,109613790,1670.0,104.536,0.001670
20,1566,102787542,1566.0,98.026,0.001566
21,1619,106266303,1619.0,101.343,0.001619
22,1637,107447769,1637.0,102.470,0.001637
23,1652,108432324,1652.0,103.409,0.001652
24,1630,106988310,1630.0,102.032,0.001630
25,1652,108432324,1652.0,103.409,0.001652
26,1680,110270160,1680.0,105.162,0.001680
27,1605,105347385,1605.0,100.467,0.001605
28,1602,105150474,1602.0,100.279,0.001602
29,1656,108694872,1656.0,103.660,0.001656
30,1651,108366687,1651.0,103.347,0.001651
