timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,944,1863,1017343,1064959,327,2089983,17336,131250
2,932,1563,1016319,1059839,180,2095103,16421,126755
3,913,1496,1017855,1059839,251,2091007,16970,127275
4,1054,1713,1024511,1227775,329,1272831,19383,136330
5,1187,2079,1020927,2086911,200,2295807,21852,155871
6,1242,2041,1021951,2086911,282,2295807,23849,164581
7,1529,2587,1023487,1064959,149,1269759,29163,164842
8,1407,2441,1022975,1068031,260,2052095,26769,158515
9,1615,3029,1022463,1221631,271,2053119,30121,167893
10,1574,3181,1023999,1062911,368,1221631,28544,162423
11,1341,2275,1021951,1058815,283,2086911,24349,151455
12,1583,2371,1022463,1418239,245,2093055,27280,162710
13,1454,3429,1025535,1437695,498,1478655,25405,148525
14,42591,43743,1881087,2297855,40256,2373631,71670,226995
15,43007,44671,2316287,2912255,41344,2914303,91030,336723
16,42847,43903,1065983,3862527,40448,4378623,70882,268305
17,43455,44607,1486847,2914303,41664,3903487,71009,232780
18,44415,45759,1466367,5410815,41984,5677055,79224,348462
19,43423,44991,1267711,4386815,41696,5419007,79198,286921
20,43295,44223,1286143,3770367,41248,3772415,68220,233823
21,43359,44607,45439,4648959,41600,5423103,53182,193758
22,43199,44159,245887,3735551,41824,4407295,56646,188040
23,43967,45279,1503231,4636671,41152,4923391,76988,281975
24,44095,45183,1556479,2951167,40928,2967551,74917,255298
25,43775,44927,1940479,3358719,41600,3756031,85014,296507
26,42847,44159,1482751,3364863,41728,4399103,73290,249268
27,43711,45471,1898495,5423103,42272,5550079,77136,317370
28,43551,45599,1924095,3786751,41120,3788799,82099,326941
29,43615,44671,1068031,4042751,41056,4399103,65832,234733
30,43423,44767,1059839,5443583,41600,5685247,70527,282593
