timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,63967,75391,85375,90431,578,100671,64511,10628
2,62367,69119,73983,78271,533,84095,62020,9715
3,61727,65727,71423,74943,659,81279,61145,8525
4,63519,71231,97791,105727,656,113023,62823,12525
5,68607,75839,82943,87807,617,96063,67567,10637
6,66431,70655,75135,79743,632,81919,65476,9702
7,67071,73407,83391,88639,583,96895,65794,11837
8,65727,70847,79231,89023,568,94783,64977,9184
9,68159,73023,78015,82879,622,87551,66278,11114
10,67711,74303,88511,108031,268,115519,66563,10979
11,66815,72703,84479,97983,704,100927,64938,12393
12,67391,78335,129599,146431,645,148991,66418,18257
13,66431,71871,76287,79103,718,83199,65267,10910
14,67903,72063,76927,81343,639,83711,66103,12122
15,72127,77119,81855,85567,560,89919,70360,11469
16,70527,77375,83263,87615,660,95295,69383,12347
17,68543,74239,86271,100287,621,104575,66849,12111
18,74431,78399,83327,88255,652,93631,72150,12659
19,67711,74687,83007,90431,582,103551,66793,11273
20,78143,83839,88703,95487,591,105599,75312,13406
21,76223,85119,91199,97727,618,106687,74579,13914
22,66815,73279,136447,152959,616,158847,65509,17476
23,67263,74751,84223,90303,635,94719,66151,12449
24,69823,74239,81087,90495,630,96127,67741,12546
25,71231,74751,80191,86911,636,90495,69155,12849
26,71807,75711,81407,90495,679,99903,69782,12242
27,68415,76863,101311,108095,735,111423,67531,14250
28,65279,69823,87871,98175,737,103871,64582,9972
29,65791,69439,85503,91455,674,95167,64618,10781
30,70335,74111,78975,83199,606,85823,68303,12731
