timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,512356,7547572,0,631804
2,512356,7547572,0,631804
3,512356,7547572,0,631804
4,512356,7547572,0,631804
5,512356,7547572,0,631804
6,512356,7547572,0,631804
7,512356,7547572,0,631804
8,512356,7547572,0,631804
9,512356,7547572,0,631804
10,512356,7547572,0,631804
11,512356,7547572,0,631804
12,512356,7547572,0,631804
13,512356,7547572,0,631804
14,512356,7547572,0,631804
15,512388,7547572,0,0
16,512388,7547572,0,0
17,512388,7547572,0,0
18,512388,7547572,0,0
19,512388,7547572,0,0
20,512388,7547572,0,0
21,512388,7547572,0,0
22,512388,7547572,0,0
23,512388,7547572,0,0
24,512388,7547572,0,0
25,512388,7547572,0,0
26,512388,7547572,0,0
27,512388,7547572,0,0
28,512388,7547572,0,0
29,512388,7547572,0,0
30,512388,7547572,0,0
