timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,510968,7223844,0,624948
2,510968,7223844,0,624948
3,510968,7223844,0,624948
4,510968,7223844,0,624948
5,510968,7223844,0,624952
6,510980,7223844,0,624952
7,510980,7223844,0,624952
8,510980,7223844,0,624956
9,510992,7223844,0,624960
10,510992,7223844,0,624964
11,510992,7223844,0,624968
12,510996,7223844,0,624976
13,510996,7223844,0,624984
14,510996,7223844,0,624984
15,510996,7223844,0,624984
16,510996,7223844,0,624984
17,511124,7223844,0,624984
18,511124,7223844,0,625048
19,511124,7223844,0,625048
20,511124,7223844,0,625884
21,511124,7223844,0,625884
22,511324,7223844,0,625936
23,511324,7223844,0,625936
24,511324,7223844,0,629056
25,511324,7223844,0,0
26,511324,7223844,0,0
27,511324,7223844,0,0
28,511324,7223844,0,0
29,511324,7223844,0,0
30,511324,7223844,0,0
