timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,696,1049,1095,1151,52,2195,665,290
2,693,1006,1087,1129,43,2181,660,276
3,682,1000,1085,1121,45,2207,661,260
4,698,1046,1116,1196,46,2733,667,288
5,681,1033,1099,1159,50,2209,662,271
6,665,1063,1101,1144,41,2205,660,292
7,704,1006,1094,1128,44,2203,664,279
8,703,1031,1095,1136,45,2205,661,281
9,702,1027,1090,1124,49,2185,664,282
10,701,1053,1100,1141,57,2195,662,288
11,697,1015,1093,1137,47,1195,663,277
12,685,1049,1096,1136,44,2177,661,288
13,691,1050,1094,1154,45,2217,662,296
14,687,1046,1097,1142,47,2195,661,287
15,698,1022,1092,1128,46,2193,663,274
16,707,1037,1093,1136,46,2195,663,285
17,699,1011,1090,1129,45,2189,663,268
18,671,1009,1089,1126,44,1355,663,259
19,663,1046,1093,1131,45,2185,662,277
20,687,1026,1088,1126,56,1181,664,278
21,709,1018,1090,1129,45,2193,663,277
22,690,1022,1089,1125,42,1171,662,266
23,680,1024,1092,1131,44,2199,664,268
24,721,1028,1087,1122,46,2175,664,283
25,683,1048,1091,1132,45,2193,664,278
26,675,1054,1096,1139,44,2199,661,284
27,671,1051,1096,1156,51,2197,662,290
28,682,1050,1097,1132,46,2169,661,287
29,697,1028,1093,1148,45,2195,663,280
30,678,1062,1096,1132,40,2185,662,290
