timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,272383,367615,453631,463359,197,466175,241770,114239
2,274431,464639,599039,617471,158,619007,267768,144122
3,268543,398847,545279,568831,165,572927,244326,125223
4,268031,456959,590847,596479,160,598527,260485,144751
5,302847,482559,676863,688639,173,690687,282496,158112
6,308991,540159,654847,681983,205,685055,308775,158736
7,301055,510207,607231,613887,223,616959,295342,160124
8,294911,479231,689151,715263,211,717823,287398,156265
9,325119,481279,612351,648191,215,651263,301919,151878
10,320255,587263,701439,711679,219,714751,329597,193290
11,353023,403199,506111,713727,228,717311,336731,103167
12,396543,460287,463615,465919,209,468991,372480,111865
13,368895,498687,653823,674815,179,678911,308871,154680
14,324095,537599,689663,711679,216,714751,305315,176950
15,322559,468479,551423,559615,225,562175,297361,136723
16,306175,455679,683007,713215,244,717311,293091,142580
17,318975,537087,704511,715775,226,724991,307900,175285
18,331519,502527,571903,577023,189,580607,315165,140869
19,321791,355839,500223,532479,183,535551,294199,86321
20,614911,625151,687615,1439743,535552,1452031,616320,40513
21,623103,627199,1666047,2103295,612864,2476031,640969,152512
22,629759,634367,635391,3317759,617984,3362815,645699,194268
23,613375,633855,1081343,2902015,606208,3866623,634115,173894
24,629247,634367,1893375,4976639,617472,5021695,660919,288386
25,632319,662015,2089983,3358719,614912,3889151,670220,251758
26,635391,658431,2073599,3964927,623104,5992447,675373,296539
27,620031,632319,1822719,3512319,611328,5406719,646452,220226
28,635903,702975,2686975,4833279,625664,6041599,698607,320795
29,706047,731647,2551807,4188159,635392,6131711,735378,313014
30,785919,810495,2668543,5124095,746496,5185535,852836,380106
