timestamp_sec,server_user_pct,server_sys_pct,server_total_pct,client_user_pct,client_sys_pct,client_total_pct
1,0.0,0.0,0.0,0.0,0.0,0.0
2,6.5,29.5,36.0,11.5,17.5,29.0
3,6.5,30.5,37.0,11.5,19.0,30.5
4,5.5,30.0,35.5,11.5,18.5,30.0
5,6.0,30.0,36.0,12.0,18.0,30.0
6,5.5,31.0,36.5,10.5,19.0,29.5
7,5.5,30.0,35.5,11.0,17.5,28.5
8,6.5,30.0,36.5,11.0,18.5,29.5
9,6.0,32.5,38.5,11.5,18.0,29.5
10,6.0,30.5,36.5,11.5,17.5,29.0
11,6.0,30.0,36.0,11.0,18.5,29.5
12,6.5,30.0,36.5,12.5,17.0,29.5
13,5.5,31.5,37.0,10.5,19.0,29.5
14,6.5,30.5,37.0,11.0,19.5,30.5
15,6.5,30.5,37.0,11.5,19.0,30.5
16,5.5,31.0,36.5,12.0,18.5,30.5
17,6.5,31.5,38.0,10.5,19.5,30.0
18,6.0,30.5,36.5,11.0,18.5,29.5
19,6.0,31.0,37.0,11.0,19.5,30.5
20,12.5,28.0,40.5,14.0,16.5,30.5
21,0.0,0.0,0.0,-1764.0,-5709.5,-7473.5
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.5,0.5,0.0,0.0,0.0
24,0.0,0.5,0.5,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
