strace: Process 2990064 attached with 47 threads
strace: Process 2990614 attached
strace: Process 2990615 attached
strace: Process 2990616 attached
strace: Process 2990067 detached
strace: Process 2990064 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 37.73    0.838109         472      1774       808 futex
  0.02    0.000450          15        30           getrusage
  0.01    0.000150           5        29           rt_sigprocmask
  0.01    0.000262          14        18           write
 59.62    1.324494       77911        17           io_uring_enter
  0.00    0.000031           2        11           pread64
  0.00    0.000076          10         7           read
  0.00    0.000046           6         7           lseek
  0.01    0.000129          18         7           mmap
  0.01    0.000228          32         7           madvise
  0.00    0.000002           0         7           gettid
  0.00    0.000015           2         7           sched_getaffinity
  2.58    0.057383        8197         7         7 restart_syscall
  0.00    0.000003           0         5           mprotect
  0.00    0.000071          14         5         5 newfstatat
  0.00    0.000015           5         3           prctl
  0.00    0.000001           0         3           set_robust_list
  0.00    0.000004           1         3           rseq
  0.00    0.000021           7         3           clone3
  0.00    0.000002           2         1           rt_sigreturn
  0.00    0.000000           0         1           unlink
------ ----------- ----------- --------- --------- ------------------
100.00    2.221492        1138      1952       820 total
