timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,9216,9664625664,9216.0,9216.905,0.009216
2,10429,10936673291,10429.0,10430.024,0.010429
3,9534,9998105586,9534.0,9534.937,0.009534
4,9163,9610094356,9163.0,9164.900,0.009163
5,8908,9340583853,8908.0,8907.875,0.008908
6,8616,9035418264,8616.0,8616.846,0.008616
7,8992,9429721568,8992.0,8992.883,0.008992
8,8825,9254592175,8825.0,8825.867,0.008825
9,8921,9355265359,8921.0,8921.876,0.008921
10,8769,9195866151,8769.0,8769.861,0.008769
11,8805,9233618595,8805.0,8805.865,0.008805
12,8493,8906430747,8493.0,8493.834,0.008493
13,8857,9288149903,8857.0,8857.870,0.008857
14,8862,9293393298,8862.0,8862.871,0.008862
15,8428,8838266612,8428.0,8428.828,0.008428
16,8734,9159162386,8734.0,8734.858,0.008734
17,8697,9120361263,8697.0,8697.854,0.008697
18,8498,8911674142,8498.0,8498.835,0.008498
19,8785,9212645015,8785.0,8785.863,0.008785
20,8790,9217888410,8790.0,8790.863,0.008790
21,8539,8954669981,8539.0,8539.839,0.008539
22,8274,8676770046,8274.0,8274.813,0.008274
23,8357,8763810403,8357.0,8357.821,0.008357
24,8644,9064781276,8644.0,8644.849,0.008644
25,8197,8596021763,8197.0,8197.805,0.008197
26,7948,8334900692,7948.0,7948.781,0.007948
27,8721,9145529559,8721.0,8721.857,0.008721
28,8721,9145529559,8721.0,8721.857,0.008721
29,8738,9163357102,8738.0,8738.858,0.008738
30,8767,9193768793,8767.0,8767.861,0.008767
