timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,498048,7554456,0,621656
2,498048,7554456,0,621656
3,498048,7554456,0,621656
4,498048,7554456,0,621656
5,498048,7554456,0,621656
6,498048,7554456,0,621656
7,498048,7554456,0,621656
8,498048,7554456,0,621656
9,498048,7554456,0,621656
10,498048,7554456,0,621656
11,498048,7554456,0,621656
12,498048,7554456,0,621656
13,498048,7554456,0,621656
14,498048,7554456,0,621720
15,498048,7554456,0,621720
16,498048,7554456,0,621736
17,498048,7554456,0,622968
18,498048,7554456,0,622968
19,498048,7554456,0,622968
20,498048,7554456,0,622968
21,498312,7554456,0,0
22,498312,7554456,0,0
23,498312,7554456,0,0
24,498312,7554456,0,0
25,498312,7554456,0,0
26,498312,7554456,0,0
27,498312,7554456,0,0
28,498312,7554456,0,0
29,498312,7554456,0,0
30,498312,7554456,0,0
