timestamp_sec,server_user_pct,server_sys_pct,server_total_pct,client_user_pct,client_sys_pct,client_total_pct
1,0.0,0.0,0.0,0.0,0.0,0.0
2,8.0,40.0,48.0,11.5,20.0,31.5
3,7.0,38.0,45.0,10.5,18.5,29.0
4,7.0,40.0,47.0,12.5,18.0,30.5
5,6.5,40.0,46.5,11.0,19.5,30.5
6,8.0,37.5,45.5,12.0,17.5,29.5
7,7.5,39.0,46.5,11.5,19.0,30.5
8,7.0,39.5,46.5,12.0,18.0,30.0
9,6.5,39.5,46.0,11.5,19.0,30.5
10,7.0,39.5,46.5,10.5,19.0,29.5
11,7.0,39.0,46.0,11.0,19.5,30.5
12,8.0,38.0,46.0,16.0,16.5,32.5
13,1.0,4.0,5.0,-2575.0,-7581.5,-10156.5
14,0.0,0.5,0.5,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.5,0.5,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.5,0.5,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5,0.0,0.5,0.0,0.0,0.0
26,0.0,0.5,0.5,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.5,0.5,0.0,0.0,0.0
