strace: Process 2920682 attached with 47 threads
strace: Process 2921218 attached
strace: Process 2921219 attached
strace: Process 2921220 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 40.14    0.966008         399      2420      1069 futex
 57.13    1.375090       38196        36           epoll_wait
  0.03    0.000695          20        34           write
  0.01    0.000308           9        33           rt_sigprocmask
  0.02    0.000541          18        30           getrusage
  0.00    0.000081           2        30           gettid
  0.01    0.000132           6        21           pread64
  0.01    0.000293          17        17           read
  0.00    0.000044           4        10           sched_getaffinity
  0.02    0.000497          49        10           clock_nanosleep
  0.01    0.000146          16         9           mmap
  0.01    0.000206          29         7           mprotect
  0.01    0.000130          18         7           madvise
  2.60    0.062525        8932         7         7 restart_syscall
  0.00    0.000095          31         3           prctl
  0.00    0.000004           1         3           set_robust_list
  0.00    0.000004           1         3           rseq
  0.00    0.000029           9         3           clone3
  0.00    0.000000           0         1           close
  0.00    0.000003           3         1           rt_sigreturn
  0.00    0.000014          14         1           unlink
  0.00    0.000000           0         1           epoll_ctl
  0.00    0.000000           0         1         1 newfstatat
------ ----------- ----------- --------- --------- ------------------
100.00    2.406845         895      2688      1077 total
