timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,521996,7545444,0,611816
2,521996,7545444,0,611816
3,521996,7545444,0,611816
4,521996,7545444,0,611816
5,521996,7545444,0,611816
6,521996,7545444,0,611816
7,521996,7545444,0,611816
8,521996,7545444,0,611816
9,521996,7545444,0,611816
10,521996,7545444,0,611816
11,521996,7545444,0,611816
12,521996,7545444,0,611880
13,521996,7545444,0,611880
14,521996,7545444,0,611884
15,521996,7545444,0,611984
16,521996,7545444,0,612920
17,521996,7545444,0,612920
18,521996,7545444,0,612920
19,521996,7545444,0,612920
20,521996,7545444,0,0
21,521996,7545444,0,0
22,521996,7545444,0,0
23,521996,7545444,0,0
24,521996,7545444,0,0
25,521996,7545444,0,0
26,521996,7545444,0,0
27,521996,7545444,0,0
28,521996,7545444,0,0
29,521996,7545444,0,0
30,521996,7545444,0,0
