timestamp_sec,p50_us,p90_us,p99_us,p999_us,min_us,max_us,mean_us,stddev_us
1,774,1022,1525,1933,83,3857,797,204
2,775,1021,1435,2109,93,3049,795,195
3,782,1068,1540,2225,70,3729,813,220
4,1042,2069,4179,6623,57,11103,1214,654
5,969,1414,2307,3349,97,6187,1028,348
6,982,1418,2183,3225,112,6015,1033,333
7,1062,1626,2673,4287,120,6695,1144,428
8,1070,1839,3307,4049,109,6843,1218,575
9,1039,1574,2653,4017,92,6527,1114,413
10,1001,1474,2433,4037,76,6143,1066,372
11,993,1566,22703,27679,98,30719,1759,3822
12,21503,24847,27327,27599,20128,27631,22255,1868
13,21119,22975,23967,24287,20000,24303,21418,985
14,21631,24031,26863,27423,20192,27471,22057,1444
15,21039,23055,24799,27215,20176,27247,21508,1115
16,21071,22991,23391,24863,19920,24943,21325,971
17,21103,23423,26367,27199,20064,27295,21614,1371
18,24607,27023,27359,29135,20464,29231,24769,1449
19,20863,24671,27167,27263,19904,27311,21800,1889
20,20703,22751,24911,27135,20112,27199,21266,1161
21,21007,24575,27087,27343,20032,27423,21854,1723
22,20783,22783,24911,27375,19824,27423,21304,1187
23,21135,23247,26111,26847,20016,27247,21574,1247
24,20975,23023,25615,27151,20048,27279,21430,1204
25,20687,22591,23663,24463,20016,24511,21128,949
26,21023,22895,23663,24191,19968,24319,21366,970
27,22831,25375,27279,27487,19904,27551,22946,2040
28,20575,22463,23695,24223,19904,24255,21026,960
29,21023,22959,23839,26335,20000,26991,21419,993
30,21039,22975,24031,26591,19968,27295,21311,1028
