timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,355,312,830,218
2,13629,5837,33107,4872
3,14736,5928,36799,5352
4,16037,5939,38187,5193
5,13034,5899,31713,5093
6,12778,5877,31073,4885
7,14679,5714,33082,5252
8,12532,5068,31120,5044
9,14444,5682,35227,5321
10,12955,5802,32548,4927
11,14228,5781,35874,5055
12,13023,5127,31836,4811
13,13302,5087,32006,5016
14,10728,5434,28078,4967
15,14800,6003,33317,4739
16,12636,5383,31149,4602
17,13273,5590,32429,5266
18,14209,5765,34281,5145
19,12108,5675,30654,5181
20,3983,1412,0,0
21,49,0,0,0
22,26,0,0,0
23,27,0,0,0
24,26,0,0,0
25,30,1,0,0
26,27,1,0,0
27,26,0,0,0
28,27,0,0,0
29,26,0,0,0
30,50,2,0,0
