timestamp_sec,server_user_pct,server_sys_pct,server_total_pct,client_user_pct,client_sys_pct,client_total_pct
1,6.0,13.0,19.0,2.5,14.0,16.5
2,81.0,260.0,341.0,83.0,276.0,359.0
3,85.5,247.0,332.5,80.0,279.0,359.0
4,87.0,251.0,338.0,82.0,278.0,360.0
5,84.5,255.0,339.5,76.0,280.5,356.5
6,84.5,260.5,345.0,82.5,282.5,365.0
7,84.5,257.5,342.0,81.0,280.5,361.5
8,87.5,257.0,344.5,84.0,283.0,367.0
9,86.0,256.5,342.5,76.5,286.0,362.5
10,84.0,256.0,340.0,82.5,283.5,366.0
11,87.0,258.5,345.5,76.0,286.0,362.0
12,82.5,259.0,341.5,81.5,282.5,364.0
13,86.0,258.0,344.0,77.0,285.0,362.0
14,83.5,263.5,347.0,81.0,279.5,360.5
15,82.5,259.0,341.5,78.5,281.5,360.0
16,86.5,251.5,338.0,75.0,281.5,356.5
17,43.5,122.0,165.5,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.5,0.5,0.0,0.0,0.0
27,0.5,0.0,0.5,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
