timestamp_sec,server_rss_kb,server_vsz_kb,server_heap_kb,client_rss_kb
1,371404,8480748,0,627548
2,371404,8480748,0,627548
3,371424,8480748,0,627548
4,371428,8480748,0,627556
5,371428,8480748,0,627556
6,371428,8480748,0,627556
7,371428,8480748,0,627556
8,371444,8480748,0,627556
9,371448,8480748,0,627564
10,371448,8480748,0,627572
11,371448,8480748,0,627572
12,371452,8480748,0,627576
13,371452,8480748,0,627580
14,371456,8480748,0,627580
15,371460,8480748,0,627580
16,371464,8480748,0,627580
17,374924,8480748,0,0
18,374924,8480748,0,0
19,374924,8480748,0,0
20,371308,8480748,0,0
21,371308,8480748,0,0
22,371308,8480748,0,0
23,371308,8480748,0,0
24,371308,8480748,0,0
25,371308,8480748,0,0
26,371308,8480748,0,0
27,371308,8480748,0,0
28,371308,8480748,0,0
29,371308,8480748,0,0
30,371308,8480748,0,0
