timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1484,426,750,313
2,27176,6232,22576,5510
3,26924,6212,22326,5296
4,27562,6498,22281,5708
5,27682,6409,23508,5499
6,26918,6315,21948,5581
7,28826,6536,24770,5637
8,27294,6565,22362,5569
9,27572,6231,22863,5679
10,28895,6576,24871,5539
11,27803,6407,22835,5219
12,28393,6511,23682,5679
13,10849,2516,0,0
14,28,0,0,0
15,26,0,0,0
16,27,0,0,0
17,26,0,0,0
18,26,0,0,0
19,27,0,0,0
20,27,0,0,0
21,26,0,0,0
22,26,0,0,0
23,26,0,0,0
24,28,0,0,0
25,26,0,0,0
26,27,0,0,0
27,26,0,0,0
28,26,0,0,0
29,28,0,0,0
30,26,0,0,0
