timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,8988,9425526852,8988.0,8988.883,0.008988
2,10116,10610534122,10116.0,10118.994,0.010116
3,9565,10028517277,9565.0,9563.939,0.009565
4,9061,9502080419,9061.0,9061.890,0.009061
5,8645,9065829955,8645.0,8645.849,0.008645
6,8583,9000811857,8583.0,8583.843,0.008583
7,8788,9215791052,8788.0,8788.863,0.008788
8,8581,8998714499,8581.0,8581.843,0.008581
9,8485,8898041315,8485.0,8485.833,0.008485
10,8612,9031223548,8612.0,8612.846,0.008612
11,8597,9015493363,8597.0,8597.844,0.008597
12,8646,9066878634,8646.0,8646.849,0.008646
13,8607,9025980153,8607.0,8607.845,0.008607
14,8516,8930550364,8516.0,8516.837,0.008516
15,8493,8906430747,8493.0,8493.834,0.008493
16,8679,9101485041,8679.0,8679.853,0.008679
17,8526,8941037154,8526.0,8526.837,0.008526
18,8587,9005006573,8587.0,8587.843,0.008587
19,8561,8977740919,8561.0,8561.841,0.008561
20,8530,8945231870,8530.0,8530.838,0.008530
21,7853,8235276187,7853.0,7853.771,0.007853
22,7984,8372653136,7984.0,7984.784,0.007984
23,8115,8510030085,8115.0,8115.797,0.008115
24,8273,8675721367,8273.0,8273.813,0.008273
25,8628,9048002412,8628.0,8628.848,0.008628
26,8609,9028077511,8609.0,8609.846,0.008609
27,8614,9033320906,8614.0,8614.846,0.008614
28,8703,9126653337,8703.0,8703.855,0.008703
29,8331,8736544749,8331.0,8331.818,0.008331
30,8011,8400967469,8011.0,8011.787,0.008011
