timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,712,29,1499,64
2,22665,977,34940,1505
3,20674,849,27801,1263
4,27261,195,42505,337
5,27684,121,42327,168
6,30541,377,69630,1007
7,27744,124,42468,194
8,28281,107,43949,172
9,26970,110,39841,207
10,27104,95,39708,222
11,30576,394,69804,1033
12,28260,110,43558,174
13,27816,114,42949,195
14,28116,106,43633,205
15,28057,128,43769,187
16,30828,326,72225,860
17,28040,121,43895,262
18,27925,124,43166,187
19,26666,115,38743,186
20,25327,73,33720,119
21,15884,16,0,0
22,15203,3,0,0
23,15196,3,0,0
24,15207,1,0,0
25,15195,1,0,0
26,15199,3,0,0
27,15202,4,0,0
28,15213,4,0,0
29,15200,6,0,0
30,15205,3,0,0
