timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,124427,511773532,124427.0,488.065,0.124427
2,127407,523669192,127407.0,499.410,0.127407
3,126509,520157140,126509.0,496.061,0.126509
4,105417,434571328,105417.0,414.440,0.105417
5,102074,421018248,102074.0,401.514,0.102074
6,104445,430610304,104445.0,410.662,0.104445
7,88267,364825416,88267.0,347.925,0.088267
8,87925,363075684,87925.0,346.256,0.087925
9,98392,406097272,98392.0,387.285,0.098392
10,101818,420061560,101818.0,400.602,0.101818
11,67924,281572580,67924.0,268.529,0.067924
12,12626,52974500,12626.0,50.520,0.012626
13,10411,43684556,10411.0,41.661,0.010411
14,14735,61823864,14735.0,58.960,0.014735
15,14514,60879764,14514.0,58.059,0.014514
16,21625,90448976,21625.0,86.259,0.021625
17,14304,60019584,14304.0,57.239,0.014304
18,14822,62184720,14822.0,59.304,0.014822
19,13774,57791508,13774.0,55.114,0.013774
20,13511,56687960,13511.0,54.062,0.013511
21,21491,89966436,21491.0,85.799,0.021491
22,14951,62717612,14951.0,59.812,0.014951
23,14943,62675652,14943.0,59.772,0.014943
24,14781,62008488,14781.0,59.136,0.014781
25,14894,62478440,14894.0,59.584,0.014894
26,21645,90545484,21645.0,86.351,0.021645
27,14901,62491028,14901.0,59.596,0.014901
28,14764,61937156,14764.0,59.068,0.014764
29,12918,54195536,12918.0,51.685,0.012918
30,11517,48325332,11517.0,46.087,0.011517
