timestamp_sec,server_user_pct,server_sys_pct,server_total_pct,client_user_pct,client_sys_pct,client_total_pct
1,0.5,10.5,11.0,6.0,19.0,25.0
2,10.0,181.0,191.0,112.5,391.0,503.5
3,7.5,181.5,189.0,120.0,388.5,508.5
4,9.5,181.0,190.5,114.5,390.0,504.5
5,10.0,182.0,192.0,113.5,392.5,506.0
6,6.5,182.0,188.5,118.0,389.5,507.5
7,10.5,183.5,194.0,114.5,399.0,513.5
8,8.0,184.0,192.0,116.5,392.5,509.0
9,8.0,181.5,189.5,115.5,394.0,509.5
10,7.5,184.5,192.0,115.5,395.5,511.0
11,8.5,182.0,190.5,118.5,390.0,508.5
12,8.0,182.0,190.0,121.5,389.5,511.0
13,8.5,182.0,190.5,115.0,394.5,509.5
14,9.0,182.0,191.0,117.0,393.0,510.0
15,9.5,181.5,191.0,114.5,392.5,507.0
16,9.0,119.0,128.0,87.0,253.0,340.0
17,5.5,79.0,84.5,63.5,144.5,208.0
18,0.5,3.0,3.5,0.0,0.0,0.0
19,0.5,2.5,3.0,0.0,0.0,0.0
20,1.0,2.0,3.0,0.0,0.0,0.0
21,0.0,3.0,3.0,0.0,0.0,0.0
22,0.5,2.5,3.0,0.0,0.0,0.0
23,0.0,2.5,2.5,0.0,0.0,0.0
24,2.0,0.5,2.5,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,1.5,2.5,4.0,0.0,0.0,0.0
27,2.0,0.5,2.5,0.0,0.0,0.0
28,2.5,0.5,3.0,0.0,0.0,0.0
29,1.0,0.0,1.0,0.0,0.0,0.0
30,1.5,1.0,2.5,0.0,0.0,0.0
