timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1667,337,1288,543
2,62357,10778,45824,15783
3,62839,11537,46692,15842
4,60632,10964,45270,15324
5,60155,11274,45420,15617
6,61755,11034,45191,15407
7,62450,11567,47042,15669
8,62932,11210,46301,16066
9,62632,11418,47155,15669
10,63673,11674,47982,14880
11,62716,11391,46357,15418
12,62593,11586,45823,15540
13,63125,11938,46388,15668
14,62485,11690,46449,15308
15,62204,11278,46299,15860
16,62964,11336,45772,17014
17,62552,11646,46391,16874
18,61451,11316,45017,15955
19,58325,11075,41891,15261
20,26,0,0,0
21,26,0,0,0
22,27,0,0,0
23,26,0,0,0
24,28,0,0,0
25,26,0,0,0
26,26,0,0,0
27,27,0,0,0
28,26,0,0,0
29,28,0,0,0
30,26,0,0,0
