timestamp_sec,requests_completed,bytes_sent,throughput_rps,throughput_mbs,throughput_mpps
1,38904,5103193296,38904.0,4866.784,0.038904
2,40898,5364754252,40898.0,5116.228,0.040898
3,40419,5301921906,40419.0,5056.307,0.040419
4,36353,4768568422,36353.0,4547.661,0.036353
5,34756,4559083544,34756.0,4347.881,0.034756
6,33673,4417022102,33673.0,4212.401,0.033673
7,33431,4385277994,33431.0,4182.127,0.033431
8,34010,4461227740,34010.0,4254.558,0.034010
9,30795,4039503330,30795.0,3852.371,0.030795
10,31892,4183401208,31892.0,3989.602,0.031892
11,34818,4567216332,34818.0,4355.637,0.034818
12,31866,4179990684,31866.0,3986.350,0.031866
13,28817,3780041158,28817.0,3604.928,0.028817
14,30549,4007234526,30549.0,3821.597,0.030549
15,30776,4037011024,30776.0,3849.994,0.030776
16,35238,4622309412,35238.0,4408.178,0.035238
17,32191,4222622234,32191.0,4027.006,0.032191
18,30086,3946500964,30086.0,3763.677,0.030086
19,33863,4441945162,33863.0,4236.169,0.033863
20,38651,5070006274,38651.0,4835.135,0.038651
21,38074,4994450050,38074.0,4763.079,0.038074
22,37817,4960475984,37817.0,4730.679,0.037817
23,38849,5095978726,38849.0,4859.904,0.038849
24,38437,5041935038,38437.0,4808.364,0.038437
25,38720,5079057280,38720.0,4843.766,0.038720
26,38590,5062004660,38590.0,4827.504,0.038590
27,38060,4992482440,38060.0,4761.202,0.038060
28,38514,5052035436,38514.0,4817.996,0.038514
29,38695,5075777930,38695.0,4840.639,0.038695
30,38690,5075122060,38690.0,4840.014,0.038690
