timestamp_sec,server_voluntary,server_involuntary,client_voluntary,client_involuntary
1,1078,131,1459,161
2,59578,2080,98674,3415
3,59972,2235,99376,3591
4,59900,2242,99328,3640
5,59286,2395,98597,3849
6,60236,2066,99898,3624
7,60143,2132,99823,3566
8,60426,2184,99960,3645
9,60545,2397,99992,3763
10,60194,2483,99714,3997
11,60199,2128,99206,3532
12,60359,2480,99715,3889
13,60205,2216,99227,3606
14,60334,2412,99374,3851
15,60236,2135,99137,3724
16,60115,2202,98918,3548
17,59663,2451,98536,3966
18,59876,2395,98600,3923
19,60039,2517,99087,3939
20,59834,2415,98656,3873
21,60418,2305,100228,3877
22,53355,2062,87169,3337
23,26,1,0,0
24,26,0,0,0
25,26,0,0,0
26,26,0,0,0
27,28,0,0,0
28,26,0,0,0
29,26,0,0,0
30,26,0,0,0
